agency,programme,constellation,mission,platform,platform_code,instrument,sensor,campaign,cospar,nssdca,fullName,shortName,acronym,mnemonic,flat_id,hierarchical_id,band_code,band_common,flat_id_band,hierarchical_id_band
ESA,Sentinel,Sentinel-2,Sentinel-2A,Sentinel-2A,A,MSI,MSI-A,,2015-028A,2015-028A,ESA Sentinel-2A A MSI,Sentinel-2A-MSI-A,S2_M_A,SENTMSIA,ESA-SENT2A-MSI-A,A_ESA-M_SENT2A-P_A-I_MSI,B01,coastal,ESA-SENT2A-MSI-A-B01,A_ESA-M_SENT2A-P_A-I_MSI-B_B01
ESA,Sentinel,Sentinel-2,Sentinel-2A,Sentinel-2A,A,MSI,MSI-A,,2015-028A,2015-028A,ESA Sentinel-2A A MSI,Sentinel-2A-MSI-A,S2_M_A,SENTMSIA,ESA-SENT2A-MSI-A,A_ESA-M_SENT2A-P_A-I_MSI,B02,blue,ESA-SENT2A-MSI-A-B02,A_ESA-M_SENT2A-P_A-I_MSI-B_B02
ESA,Sentinel,Sentinel-2,Sentinel-2A,Sentinel-2A,A,MSI,MSI-A,,2015-028A,2015-028A,ESA Sentinel-2A A MSI,Sentinel-2A-MSI-A,S2_M_A,SENTMSIA,ESA-SENT2A-MSI-A,A_ESA-M_SENT2A-P_A-I_MSI,B03,green,ESA-SENT2A-MSI-A-B03,A_ESA-M_SENT2A-P_A-I_MSI-B_B03
ESA,Sentinel,Sentinel-2,Sentinel-2A,Sentinel-2A,A,MSI,MSI-A,,2015-028A,2015-028A,ESA Sentinel-2A A MSI,Sentinel-2A-MSI-A,S2_M_A,SENTMSIA,ESA-SENT2A-MSI-A,A_ESA-M_SENT2A-P_A-I_MSI,B04,red,ESA-SENT2A-MSI-A-B04,A_ESA-M_SENT2A-P_A-I_MSI-B_B04
ESA,Sentinel,Sentinel-2,Sentinel-2A,Sentinel-2A,A,MSI,MSI-A,,2015-028A,2015-028A,ESA Sentinel-2A A MSI,Sentinel-2A-MSI-A,S2_M_A,SENTMSIA,ESA-SENT2A-MSI-A,A_ESA-M_SENT2A-P_A-I_MSI,B08,nir,ESA-SENT2A-MSI-A-B08,A_ESA-M_SENT2A-P_A-I_MSI-B_B08
ESA,Sentinel,Sentinel-2,Sentinel-2B,Sentinel-2B,B,MSI,MSI-B,,2017-013A,2017-013A,ESA Sentinel-2B B MSI,Sentinel-2B-MSI-B,S2_M_B,SENTMSIB,ESA-SENT2B-MSI-B,A_ESA-M_SENT2B-P_B-I_MSI,B01,coastal,ESA-SENT2B-MSI-B-B01,A_ESA-M_SENT2B-P_B-I_MSI-B_B01
ESA,Sentinel,Sentinel-2,Sentinel-2B,Sentinel-2B,B,MSI,MSI-B,,2017-013A,2017-013A,ESA Sentinel-2B B MSI,Sentinel-2B-MSI-B,S2_M_B,SENTMSIB,ESA-SENT2B-MSI-B,A_ESA-M_SENT2B-P_B-I_MSI,B02,blue,ESA-SENT2B-MSI-B-B02,A_ESA-M_SENT2B-P_B-I_MSI-B_B02
ESA,Sentinel,Sentinel-2,Sentinel-2B,Sentinel-2B,B,MSI,MSI-B,,2017-013A,2017-013A,ESA Sentinel-2B B MSI,Sentinel-2B-MSI-B,S2_M_B,SENTMSIB,ESA-SENT2B-MSI-B,A_ESA-M_SENT2B-P_B-I_MSI,B03,green,ESA-SENT2B-MSI-B-B03,A_ESA-M_SENT2B-P_B-I_MSI-B_B03
ESA,Sentinel,Sentinel-2,Sentinel-2B,Sentinel-2B,B,MSI,MSI-B,,2017-013A,2017-013A,ESA Sentinel-2B B MSI,Sentinel-2B-MSI-B,S2_M_B,SENTMSIB,ESA-SENT2B-MSI-B,A_ESA-M_SENT2B-P_B-I_MSI,B04,red,ESA-SENT2B-MSI-B-B04,A_ESA-M_SENT2B-P_B-I_MSI-B_B04
ESA,Sentinel,Sentinel-2,Sentinel-2B,Sentinel-2B,B,MSI,MSI-B,,2017-013A,2017-013A,ESA Sentinel-2B B MSI,Sentinel-2B-MSI-B,S2_M_B,SENTMSIB,ESA-SENT2B-MSI-B,A_ESA-M_SENT2B-P_B-I_MSI,B08,nir,ESA-SENT2B-MSI-B-B08,A_ESA-M_SENT2B-P_B-I_MSI-B_B08
